Label                                                       Cost     Time(s)     BestKnown         Gap    Dev(%)
----------------------------------------------------------------------------------------------------------------
wlp01.dzn [voraz]                                       37044.00    0.002588         28716     8328.00     29.00
wlp01.dzn [voraz+LS]                                    34935.00    0.128692         28716     6219.00     21.66
wlp01.dzn [GRASP α=3 i=100]                             41665.00    0.274641         28716    12949.00     45.09
wlp01.dzn [GRASP α=3 i=100 +LS]                         31995.00   21.079485         28716     3279.00     11.42
wlp01.dzn [GVNS kmax=0.000000 i=100 RL]                 34549.00    9.254429         28716     5833.00     20.31
wlp02.dzn [voraz]                                       70692.00    0.010079         52952    17740.00     33.50
wlp02.dzn [voraz+LS]                                    65129.00    1.595488         52952    12177.00     23.00
wlp02.dzn [GRASP α=3 i=100]                             77264.00    1.053915         52952    24312.00     45.91
wlp02.dzn [GRASP α=3 i=100 +LS]                         63874.00  193.415172         52952    10922.00     20.63
wlp02.dzn [GVNS kmax=0.000000 i=100 RL]                 65016.00  108.256308         52952    12064.00     22.78
wlp03.dzn [voraz]                                       86783.00    0.019616         64296    22487.00     34.97
wlp03.dzn [voraz+LS]                                    77643.00    5.331066         64296    13347.00     20.76
wlp03.dzn [GRASP α=3 i=100]                             94940.00    2.071988         64296    30644.00     47.66
wlp03.dzn [GRASP α=3 i=100 +LS]                         76767.00  879.237147         64296    12471.00     19.40
wlp03.dzn [GVNS kmax=0.000000 i=100 RL]                 78196.00  271.439216         64296    13900.00     21.62
wlp04.dzn [voraz]                                      103142.00    0.036747         84633    18509.00     21.87
wlp04.dzn [voraz+LS]                                    97977.00   11.488400         84633    13344.00     15.77
wlp04.dzn [GRASP α=3 i=100]                            114077.00    3.943077         84633    29444.00     34.79
wlp04.dzn [GRASP α=3 i=100 +LS]                         99136.00 1809.934412         84633    14503.00     17.14
wlp04.dzn [GVNS kmax=0.000000 i=100 RL]                 98187.00  684.506270         84633    13554.00     16.02
