iter,LS1,LS2,LS3,LS4
0,0.5000,0.5000,0.5000,0.5000
1,0.3500,0.5000,0.5000,0.5000
2,0.3500,0.3543,0.5000,0.5000
3,0.3500,0.3543,0.3623,0.5000
4,0.3500,0.3543,0.3623,0.3500
5,0.3500,0.3543,0.2536,0.3500
6,0.3500,0.2547,0.2536,0.3500
7,0.3500,0.2547,0.1785,0.3500
8,0.3500,0.2547,0.1785,0.2450
9,0.3500,0.2547,0.1785,0.1715
10,0.2485,0.2547,0.1785,0.1715
0,0.2485,0.2547,0.1785,0.1715
1,0.2485,0.1855,0.1785,0.1715
2,0.1753,0.1855,0.1785,0.1715
3,0.1753,0.1299,0.1785,0.1715
4,0.1227,0.1299,0.1785,0.1715
5,0.1227,0.1299,0.1250,0.1715
6,0.1227,0.1299,0.1250,0.1200
7,0.1227,0.0909,0.1250,0.1200
0,0.1227,0.0909,0.1250,0.1200
1,0.1227,0.0909,0.0878,0.1200
2,0.0883,0.0909,0.0878,0.1200
3,0.0883,0.0909,0.0878,0.0840
4,0.0883,0.0636,0.0878,0.0840
5,0.0618,0.0636,0.0878,0.0840
6,0.0433,0.0636,0.0878,0.0840
7,0.0433,0.0636,0.0614,0.0840
0,0.0433,0.0636,0.0614,0.0840
1,0.0433,0.0636,0.0458,0.0840
2,0.0433,0.0636,0.0458,0.0588
3,0.0433,0.0449,0.0458,0.0588
4,0.0325,0.0449,0.0458,0.0588
5,0.0325,0.0449,0.0458,0.0412
6,0.0325,0.0449,0.0321,0.0412
7,0.0325,0.0314,0.0321,0.0412
8,0.0325,0.0314,0.0321,0.0288
9,0.0228,0.0314,0.0321,0.0288
0,0.0228,0.0314,0.0321,0.0288
1,0.0228,0.0314,0.0227,0.0288
2,0.0228,0.0227,0.0227,0.0288
3,0.0228,0.0227,0.0227,0.0202
4,0.0213,0.0227,0.0227,0.0202
5,0.0213,0.0227,0.0159,0.0202
6,0.0213,0.0159,0.0159,0.0202
7,0.0149,0.0159,0.0159,0.0202
8,0.0149,0.0159,0.0159,0.0141
9,0.0149,0.0159,0.0111,0.0141
0,0.0149,0.0159,0.0111,0.0141
1,0.0149,0.0124,0.0111,0.0141
2,0.0112,0.0124,0.0111,0.0141
3,0.0112,0.0124,0.0111,0.0099
4,0.0112,0.0087,0.0111,0.0099
5,0.0078,0.0087,0.0111,0.0099
6,0.0078,0.0087,0.0078,0.0099
7,0.0078,0.0087,0.0078,0.0069
0,0.0078,0.0087,0.0078,0.0069
1,0.0078,0.0092,0.0078,0.0069
2,0.0078,0.0092,0.0055,0.0069
3,0.0067,0.0092,0.0055,0.0069
4,0.0067,0.0064,0.0055,0.0069
5,0.0067,0.0064,0.0055,0.0048
