iter,LS1,LS2,LS3,LS4
0,0.5000,0.5000,0.5000,0.5000
1,0.4000,0.5000,0.5000,0.5000
2,0.4000,0.5000,0.5000,0.4000
3,0.4000,0.6000,0.5000,0.4000
4,0.4000,0.4800,0.5000,0.4000
5,0.4000,0.4800,0.6000,0.4000
6,0.4000,0.4800,0.4800,0.4000
7,0.4000,0.4800,0.3840,0.4000
8,0.4000,0.5840,0.3840,0.4000
9,0.4000,0.4672,0.3840,0.4000
10,0.4000,0.3738,0.3840,0.4000
0,0.4000,0.3738,0.3840,0.4000
1,0.3200,0.3738,0.3840,0.4000
2,0.3200,0.3738,0.3840,0.3200
3,0.3200,0.3738,0.5072,0.3200
4,0.3200,0.3738,0.4058,0.3200
5,0.3200,0.3738,0.3246,0.3200
6,0.3200,0.4990,0.3246,0.3200
7,0.3200,0.3992,0.3246,0.3200
8,0.3200,0.3194,0.3246,0.3200
9,0.3200,0.3194,0.4597,0.3200
10,0.3200,0.3194,0.3677,0.3200
0,0.3200,0.3194,0.3677,0.3200
1,0.3200,0.3194,0.4942,0.3200
2,0.3200,0.3194,0.3954,0.3200
3,0.3200,0.3194,0.3163,0.3200
4,0.3200,0.3194,0.3163,0.2560
5,0.4560,0.3194,0.3163,0.2560
6,0.3648,0.3194,0.3163,0.2560
7,0.2918,0.3194,0.3163,0.2560
8,0.2918,0.4555,0.3163,0.2560
9,0.2918,0.3644,0.3163,0.2560
10,0.2918,0.2915,0.3163,0.2560
0,0.2918,0.2915,0.3163,0.2560
1,0.2918,0.2915,0.4530,0.2560
2,0.2918,0.2915,0.3624,0.2560
3,0.2918,0.2915,0.2899,0.2560
4,0.4335,0.2915,0.2899,0.2560
5,0.3468,0.2915,0.2899,0.2560
6,0.2774,0.2915,0.2899,0.2560
7,0.2774,0.4332,0.2899,0.2560
8,0.2774,0.3466,0.2899,0.2560
9,0.2774,0.2773,0.2899,0.2560
10,0.2774,0.2773,0.4320,0.2560
0,0.2774,0.2773,0.4320,0.2560
1,0.2774,0.2773,0.5456,0.2560
2,0.2774,0.2773,0.4364,0.2560
3,0.2774,0.2773,0.3492,0.2560
4,0.2774,0.2773,0.2793,0.2560
5,0.2774,0.2773,0.2235,0.2560
6,0.4219,0.2773,0.2235,0.2560
7,0.3376,0.2773,0.2235,0.2560
8,0.2700,0.2773,0.2235,0.2560
9,0.2700,0.4218,0.2235,0.2560
10,0.2700,0.3374,0.2235,0.2560
0,0.2700,0.3374,0.2235,0.2560
1,0.2700,0.4700,0.2235,0.2560
2,0.2700,0.3760,0.2235,0.2560
3,0.2700,0.3008,0.2235,0.2560
4,0.2700,0.2406,0.2235,0.2560
5,0.4160,0.2406,0.2235,0.2560
6,0.3328,0.2406,0.2235,0.2560
7,0.2663,0.2406,0.2235,0.2560
8,0.2130,0.2406,0.2235,0.2560
9,0.2130,0.2406,0.2235,0.2048
10,0.2130,0.1925,0.2235,0.2048
0,0.2130,0.1925,0.2235,0.2048
1,0.2130,0.1925,0.3788,0.2048
