iter,LS1,LS2,LS3,LS4
0,0.5000,0.5000,0.5000,0.5000
1,0.5000,0.6500,0.5000,0.5000
2,0.5000,0.6500,0.5000,0.3500
3,0.5000,0.4550,0.5000,0.3500
4,0.5000,0.4550,0.6500,0.3500
5,0.5000,0.4550,0.4550,0.3500
6,0.6500,0.4550,0.4550,0.3500
7,0.4550,0.4550,0.4550,0.3500
8,0.4550,0.6185,0.4550,0.3500
9,0.4550,0.4330,0.4550,0.3500
10,0.4550,0.4330,0.6185,0.3500
0,0.4550,0.4330,0.6185,0.3500
1,0.4550,0.4330,0.4330,0.3500
2,0.6185,0.4330,0.4330,0.3500
3,0.4330,0.4330,0.4330,0.3500
4,0.4330,0.4330,0.3031,0.3500
5,0.4330,0.3031,0.3031,0.3500
6,0.3031,0.3031,0.3031,0.3500
7,0.3031,0.3031,0.3031,0.2450
0,0.3031,0.3031,0.3031,0.2450
1,0.5121,0.3031,0.3031,0.2450
2,0.5121,0.3031,0.2121,0.2450
3,0.3585,0.3031,0.2121,0.2450
4,0.2510,0.3031,0.2121,0.2450
5,0.2510,0.2121,0.2121,0.2450
6,0.1757,0.2121,0.2121,0.2450
0,0.1757,0.2121,0.2121,0.2450
1,0.1757,0.2121,0.2121,0.1715
2,0.1757,0.2121,0.4485,0.1715
3,0.1757,0.2121,0.3140,0.1715
4,0.1757,0.2121,0.2198,0.1715
5,0.1757,0.2121,0.2198,0.1200
6,0.1757,0.2121,0.1538,0.1200
7,0.1757,0.4485,0.1538,0.1200
8,0.1757,0.3140,0.1538,0.1200
9,0.1757,0.3140,0.1077,0.1200
10,0.1757,0.2198,0.1077,0.1200
0,0.1757,0.2198,0.1077,0.1200
1,0.1757,0.4538,0.1077,0.1200
2,0.1757,0.3177,0.1077,0.1200
3,0.1757,0.2224,0.1077,0.1200
4,0.1757,0.1557,0.1077,0.1200
5,0.4230,0.1557,0.1077,0.1200
6,0.2961,0.1557,0.1077,0.1200
7,0.2073,0.1557,0.1077,0.1200
8,0.1451,0.1557,0.1077,0.1200
9,0.1451,0.1090,0.1077,0.1200
10,0.1016,0.1090,0.1077,0.1200
0,0.1016,0.1090,0.1077,0.1200
1,0.1016,0.1090,0.0754,0.1200
2,0.1016,0.1090,0.0754,0.0840
3,0.1016,0.3763,0.0754,0.0840
4,0.1016,0.3763,0.0754,0.0588
5,0.1016,0.2634,0.0754,0.0588
6,0.1016,0.1844,0.0754,0.0588
7,0.1016,0.1291,0.0754,0.0588
8,0.1016,0.0903,0.0754,0.0588
0,0.1016,0.0903,0.0754,0.0588
1,0.3711,0.0903,0.0754,0.0588
