iter,LS1,LS2,LS3,LS4
0,0.5000,0.5000,0.5000,0.5000
1,0.5000,0.5000,0.5000,0.4000
2,0.5000,0.5000,598.8000,0.4000
3,0.5000,0.5000,479.0400,0.4000
4,0.5000,0.5000,383.2320,0.4000
5,0.5000,0.5000,306.5856,0.4000
6,0.5000,0.5000,245.2685,0.4000
7,0.5000,0.5000,196.2148,0.4000
0,0.5000,0.5000,196.2148,0.4000
1,0.5000,0.5000,549.1718,0.4000
2,0.5000,0.5000,439.3375,0.4000
3,0.5000,0.5000,351.4700,0.4000
4,0.5000,0.5000,281.1760,0.4000
5,0.5000,0.5000,224.9408,0.4000
6,0.5000,0.5000,179.9526,0.4000
0,0.5000,0.5000,179.9526,0.4000
1,0.5000,0.5000,275.5621,0.4000
2,0.5000,0.5000,220.4497,0.4000
3,0.5000,0.5000,176.3597,0.4000
4,0.5000,0.5000,141.0878,0.4000
5,0.5000,0.5000,112.8702,0.4000
6,0.5000,0.5000,90.2962,0.4000
0,0.5000,0.5000,90.2962,0.4000
1,0.5000,0.5000,125.0370,0.4000
2,0.5000,0.5000,100.0296,0.4000
3,0.5000,0.5000,80.0236,0.4000
4,0.5000,0.5000,64.0189,0.4000
5,0.5000,0.5000,51.2151,0.4000
6,0.5000,0.5000,40.9721,0.4000
0,0.5000,0.5000,40.9721,0.4000
1,0.5000,0.5000,256.7777,0.4000
2,0.5000,0.5000,205.4221,0.4000
3,0.5000,0.5000,164.3377,0.4000
4,0.5000,0.5000,131.4702,0.4000
5,0.5000,0.5000,105.1761,0.4000
6,0.5000,0.5000,84.1409,0.4000
0,0.5000,0.5000,84.1409,0.4000
1,0.5000,0.5000,258.7127,0.4000
2,0.5000,0.5000,206.9702,0.4000
3,0.5000,0.5000,165.5761,0.4000
4,0.5000,0.5000,132.4609,0.4000
5,0.5000,0.5000,105.9687,0.4000
6,0.5000,0.5000,84.7750,0.4000
0,0.5000,0.5000,84.7750,0.4000
1,0.5000,0.5000,398.6200,0.4000
2,0.5000,0.5000,318.8960,0.4000
3,0.5000,0.5000,255.1168,0.4000
4,0.5000,0.5000,204.0934,0.4000
5,0.5000,0.5000,163.2747,0.4000
6,0.5000,0.5000,130.6198,0.4000
0,0.5000,0.5000,130.6198,0.4000
1,0.5000,0.5000,209.6958,0.4000
2,0.5000,0.5000,167.7567,0.4000
3,0.5000,0.5000,134.2053,0.4000
4,0.5000,0.5000,107.3643,0.4000
5,0.5000,0.5000,85.8914,0.4000
6,0.5000,0.5000,68.7131,0.4000
0,0.5000,0.5000,68.7131,0.4000
1,0.5000,0.5000,317.5705,0.4000
2,0.5000,0.5000,254.0564,0.4000
3,0.5000,0.5000,203.2451,0.4000
4,0.5000,0.5000,162.5961,0.4000
5,0.5000,0.5000,130.0769,0.4000
6,0.5000,0.5000,104.0615,0.4000
0,0.5000,0.5000,104.0615,0.4000
1,0.5000,0.5000,245.0492,0.4000
2,0.5000,0.5000,196.0394,0.4000
3,0.5000,0.5000,156.8315,0.4000
4,0.5000,0.5000,125.4652,0.4000
5,0.5000,0.5000,100.3722,0.4000
6,0.5000,0.5000,80.2977,0.4000
0,0.5000,0.5000,80.2977,0.4000
1,0.5000,0.5000,211.0382,0.4000
2,0.5000,0.5000,168.8305,0.4000
3,0.5000,0.5000,135.0644,0.4000
4,0.5000,0.5000,108.0515,0.4000
5,0.5000,0.5000,86.4412,0.4000
6,0.5000,0.5000,69.1530,0.4000
0,0.5000,0.5000,69.1530,0.4000
1,0.5000,0.5000,182.5224,0.4000
2,0.5000,0.5000,146.0179,0.4000
3,0.5000,0.5000,116.8143,0.4000
4,0.5000,0.5000,93.4515,0.4000
5,0.5000,0.5000,74.7612,0.4000
6,0.5000,0.5000,59.8089,0.4000
0,0.5000,0.5000,59.8089,0.4000
1,0.5000,0.5000,764.4471,0.4000
2,0.5000,0.5000,611.5577,0.4000
3,0.5000,0.5000,489.2462,0.4000
4,0.5000,0.5000,391.3969,0.4000
5,0.5000,0.5000,313.1176,0.4000
6,0.5000,0.5000,250.4940,0.4000
0,0.5000,0.5000,250.4940,0.4000
1,0.5000,0.5000,419.9952,0.4000
2,0.5000,0.5000,335.9962,0.4000
3,0.5000,0.5000,268.7969,0.4000
4,0.5000,0.5000,215.0376,0.4000
5,0.5000,0.5000,172.0300,0.4000
6,0.5000,0.5000,137.6240,0.4000
0,0.5000,0.5000,137.6240,0.4000
1,0.5000,0.5000,546.6992,0.4000
2,0.5000,0.5000,437.3594,0.4000
3,0.5000,0.5000,349.8875,0.4000
4,0.5000,0.5000,279.9100,0.4000
5,0.5000,0.5000,223.9280,0.4000
6,0.5000,0.5000,179.1424,0.4000
0,0.5000,0.5000,179.1424,0.4000
1,0.5000,0.5000,601.7139,0.4000
2,0.5000,0.5000,481.3711,0.4000
3,0.5000,0.5000,385.0969,0.4000
4,0.5000,0.5000,308.0775,0.4000
5,0.5000,0.5000,246.4620,0.4000
6,0.5000,0.5000,197.1696,0.4000
0,0.5000,0.5000,197.1696,0.4000
1,0.5000,0.5000,442.5357,0.4000
2,0.5000,0.5000,354.0286,0.4000
3,0.5000,0.5000,283.2228,0.4000
4,0.5000,0.5000,226.5783,0.4000
5,0.5000,0.5000,181.2626,0.4000
6,0.5000,0.5000,145.0101,0.4000
0,0.5000,0.5000,145.0101,0.4000
1,0.5000,0.5000,513.8081,0.4000
2,0.5000,0.5000,411.0465,0.4000
3,0.5000,0.5000,328.8372,0.4000
4,0.5000,0.5000,263.0697,0.4000
5,0.5000,0.5000,210.4558,0.4000
6,0.5000,0.5000,168.3646,0.4000
0,0.5000,0.5000,168.3646,0.4000
1,0.5000,0.5000,397.8917,0.4000
2,0.5000,0.5000,318.3134,0.4000
3,0.5000,0.5000,254.6507,0.4000
4,0.5000,0.5000,203.7206,0.4000
5,0.5000,0.5000,162.9764,0.4000
6,0.5000,0.5000,130.3812,0.4000
0,0.5000,0.5000,130.3812,0.4000
1,0.5000,0.5000,733.1049,0.4000
2,0.5000,0.5000,586.4839,0.4000
3,0.5000,0.5000,469.1872,0.4000
4,0.5000,0.5000,375.3497,0.4000
5,0.5000,0.5000,300.2798,0.4000
6,0.5000,0.5000,240.2238,0.4000
0,0.5000,0.5000,240.2238,0.4000
1,0.5000,0.5000,1012.3791,0.4000
2,0.5000,0.5000,809.9032,0.4000
3,0.5000,0.5000,647.9226,0.4000
4,0.5000,0.5000,518.3381,0.4000
5,0.5000,0.5000,414.6705,0.4000
6,0.5000,0.5000,331.7364,0.4000
0,0.5000,0.5000,331.7364,0.4000
1,0.5000,0.5000,554.7891,0.4000
2,0.5000,0.5000,443.8313,0.4000
3,0.5000,0.5000,355.0650,0.4000
4,0.5000,0.5000,284.0520,0.4000
