iter,LS1,LS2,LS3,LS4
0,0.5000,0.5000,0.5000,0.5000
1,0.5000,0.3537,0.5000,0.5000
2,0.5000,0.3537,0.5000,0.3500
3,0.5000,0.3537,0.3619,0.3500
4,0.3608,0.3537,0.3619,0.3500
5,0.3608,0.3537,0.3619,0.2450
6,0.3608,0.3537,0.2536,0.2450
7,0.2553,0.3537,0.2536,0.2450
8,0.2553,0.2481,0.2536,0.2450
9,0.1787,0.2481,0.2536,0.2450
10,0.1787,0.2481,0.1775,0.2450
0,0.1787,0.2481,0.1775,0.2450
1,0.1787,0.2481,0.1243,0.2450
2,0.1787,0.1742,0.1243,0.2450
3,0.1787,0.1742,0.1243,0.1715
4,0.1255,0.1742,0.1243,0.1715
5,0.1255,0.1219,0.1243,0.1715
6,0.1255,0.1219,0.1243,0.1200
7,0.0878,0.1219,0.1243,0.1200
8,0.0878,0.1219,0.0870,0.1200
9,0.0878,0.0853,0.0870,0.1200
0,0.0878,0.0853,0.0870,0.1200
1,0.0878,0.0853,0.0870,0.0840
2,0.0618,0.0853,0.0870,0.0840
3,0.0618,0.0853,0.0609,0.0840
4,0.0432,0.0853,0.0609,0.0840
5,0.0432,0.0597,0.0609,0.0840
6,0.0432,0.0597,0.0609,0.0588
7,0.0432,0.0597,0.0426,0.0588
0,0.0432,0.0597,0.0426,0.0588
1,0.0432,0.0419,0.0426,0.0588
2,0.0432,0.0419,0.0426,0.0412
3,0.0310,0.0419,0.0426,0.0412
4,0.0310,0.0419,0.0298,0.0412
5,0.0310,0.0293,0.0298,0.0412
6,0.0310,0.0293,0.0298,0.0288
7,0.0217,0.0293,0.0298,0.0288
8,0.0217,0.0293,0.0209,0.0288
0,0.0217,0.0293,0.0209,0.0288
1,0.0217,0.0212,0.0209,0.0288
2,0.0217,0.0212,0.0209,0.0202
3,0.0161,0.0212,0.0209,0.0202
4,0.0161,0.0148,0.0209,0.0202
5,0.0161,0.0148,0.0146,0.0202
6,0.0161,0.0104,0.0146,0.0202
7,0.0161,0.0104,0.0146,0.0141
8,0.0113,0.0104,0.0146,0.0141
0,0.0113,0.0104,0.0146,0.0141
1,0.0113,0.0104,0.0103,0.0141
2,0.0113,0.0104,0.0103,0.0099
3,0.0085,0.0104,0.0103,0.0099
4,0.0085,0.0104,0.0103,0.0069
5,0.0085,0.0104,0.0072,0.0069
6,0.0085,0.0075,0.0072,0.0069
7,0.0060,0.0075,0.0072,0.0069
8,0.0060,0.0052,0.0072,0.0069
9,0.0060,0.0052,0.0072,0.0048
10,0.0060,0.0052,0.0050,0.0048
0,0.0060,0.0052,0.0050,0.0048
1,0.0047,0.0052,0.0050,0.0048
2,0.0047,0.0037,0.0050,0.0048
3,0.0047,0.0037,0.0035,0.0048
4,0.0047,0.0037,0.0035,0.0034
5,0.0033,0.0037,0.0035,0.0034
6,0.0033,0.0026,0.0035,0.0034
0,0.0033,0.0026,0.0035,0.0034
1,0.0033,0.0026,0.0025,0.0034
2,0.0033,0.0026,0.0025,0.0024
3,0.0031,0.0026,0.0025,0.0024
4,0.0022,0.0026,0.0025,0.0024
5,0.0022,0.0020,0.0025,0.0024
6,0.0022,0.0020,0.0017,0.0024
7,0.0022,0.0020,0.0017,0.0017
8,0.0016,0.0020,0.0017,0.0017
9,0.0016,0.0014,0.0017,0.0017
10,0.0016,0.0014,0.0012,0.0017
0,0.0016,0.0014,0.0012,0.0017
1,0.0016,0.0014,0.0012,0.0012
2,0.0012,0.0014,0.0012,0.0012
3,0.0012,0.0010,0.0012,0.0012
4,0.0009,0.0010,0.0012,0.0012
5,0.0009,0.0010,0.0008,0.0012
6,0.0009,0.0010,0.0008,0.0008
7,0.0009,0.0007,0.0008,0.0008
0,0.0009,0.0007,0.0008,0.0008
1,0.0007,0.0007,0.0008,0.0008
2,0.0007,0.0007,0.0006,0.0008
3,0.0007,0.0007,0.0006,0.0006
4,0.0007,0.0005,0.0006,0.0006
5,0.0005,0.0005,0.0006,0.0006
6,0.0005,0.0005,0.0004,0.0006
0,0.0005,0.0005,0.0004,0.0006
1,0.0005,0.0005,0.0004,0.0004
2,0.0005,0.0025,0.0004,0.0004
3,0.0005,0.0017,0.0004,0.0004
4,0.0005,0.0012,0.0004,0.0004
5,0.0005,0.0008,0.0004,0.0004
6,0.0005,0.0006,0.0004,0.0004
7,0.0005,0.0004,0.0004,0.0004
0,0.0005,0.0004,0.0004,0.0004
1,0.0028,0.0004,0.0004,0.0004
2,0.0028,0.0003,0.0004,0.0004
3,0.0019,0.0003,0.0004,0.0004
4,0.0014,0.0003,0.0004,0.0004
5,0.0010,0.0003,0.0004,0.0004
6,0.0007,0.0003,0.0004,0.0004
0,0.0007,0.0003,0.0004,0.0004
1,0.0007,0.0003,0.0011,0.0004
2,0.0007,0.0003,0.0008,0.0004
3,0.0007,0.0003,0.0005,0.0004
4,0.0030,0.0003,0.0005,0.0004
5,0.0030,0.0002,0.0005,0.0004
6,0.0021,0.0002,0.0005,0.0004
7,0.0015,0.0002,0.0005,0.0004
8,0.0010,0.0002,0.0005,0.0004
9,0.0007,0.0002,0.0005,0.0004
10,0.0005,0.0002,0.0005,0.0004
0,0.0005,0.0002,0.0005,0.0004
1,0.0005,0.0002,0.0004,0.0004
2,0.0011,0.0002,0.0004,0.0004
3,0.0008,0.0002,0.0004,0.0004
4,0.0008,0.0002,0.0004,0.0004
5,0.0008,0.0002,0.0003,0.0004
6,0.0005,0.0002,0.0003,0.0004
7,0.0004,0.0002,0.0003,0.0004
0,0.0004,0.0002,0.0003,0.0004
1,0.0004,0.0002,0.0003,0.0003
2,0.0009,0.0002,0.0003,0.0003
3,0.0006,0.0002,0.0003,0.0003
4,0.0004,0.0002,0.0003,0.0003
5,0.0004,0.0001,0.0003,0.0003
6,0.0003,0.0001,0.0003,0.0003
7,0.0002,0.0001,0.0003,0.0003
0,0.0002,0.0001,0.0003,0.0003
1,0.0002,0.0001,0.0003,0.0002
2,0.0002,0.0001,0.0002,0.0002
3,0.0003,0.0001,0.0002,0.0002
4,0.0002,0.0001,0.0002,0.0002
5,0.0001,0.0001,0.0002,0.0002
6,0.0001,0.0001,0.0002,0.0001
7,0.0001,0.0001,0.0001,0.0001
8,0.0001,0.0001,0.0001,0.0001
0,0.0001,0.0001,0.0001,0.0001
1,0.0001,0.0001,0.0001,0.0001
2,0.0001,0.0001,0.0001,0.0001
3,0.0001,0.0001,0.0001,0.0001
4,0.0001,0.0001,0.0001,0.0001
5,0.0007,0.0001,0.0001,0.0001
6,0.0005,0.0001,0.0001,0.0001
7,0.0003,0.0001,0.0001,0.0001
8,0.0002,0.0001,0.0001,0.0001
9,0.0002,0.0001,0.0001,0.0001
10,0.0001,0.0001,0.0001,0.0001
0,0.0001,0.0001,0.0001,0.0001
1,0.0009,0.0001,0.0001,0.0001
2,0.0007,0.0001,0.0001,0.0001
3,0.0005,0.0001,0.0001,0.0001
4,0.0003,0.0001,0.0001,0.0001
5,0.0002,0.0001,0.0001,0.0001
6,0.0002,0.0001,0.0001,0.0001
0,0.0002,0.0001,0.0001,0.0001
1,0.0020,0.0001,0.0001,0.0001
2,0.0014,0.0001,0.0001,0.0001
3,0.0010,0.0001,0.0001,0.0001
4,0.0007,0.0001,0.0001,0.0001
