iter,LS1,LS2,LS3,LS4
0,0.5000,0.5000,0.5000,0.5000
1,0.5000,0.5000,0.6500,0.5000
2,0.5000,0.6500,0.6500,0.5000
3,0.5000,0.6500,0.7550,0.5000
4,0.5000,0.6500,0.5285,0.5000
5,0.5000,0.7550,0.5285,0.5000
6,0.5000,0.7550,0.5285,0.3500
7,0.5000,0.5285,0.5285,0.3500
8,0.5000,0.3700,0.5285,0.3500
9,0.5000,0.3700,0.3700,0.3500
10,0.6500,0.3700,0.3700,0.3500
0,0.6500,0.3700,0.3700,0.3500
1,0.7550,0.3700,0.3700,0.3500
2,0.5285,0.3700,0.3700,0.3500
3,0.3700,0.3700,0.3700,0.3500
4,0.3700,0.5590,0.3700,0.3500
5,0.3700,0.3913,0.3700,0.3500
6,0.3700,0.2739,0.3700,0.3500
7,0.3700,0.2739,0.5590,0.3500
8,0.5590,0.2739,0.5590,0.3500
9,0.5590,0.2739,0.5590,0.2450
10,0.5590,0.2739,0.5590,0.1715
0,0.5590,0.2739,0.5590,0.1715
1,0.5590,0.2739,0.6913,0.1715
2,0.5590,0.2739,0.6913,0.1200
3,0.5590,0.2739,0.4839,0.1200
4,0.6913,0.2739,0.4839,0.1200
5,0.4839,0.2739,0.4839,0.1200
6,0.3387,0.2739,0.4839,0.1200
7,0.3387,0.2739,0.3387,0.1200
8,0.3387,0.1917,0.3387,0.1200
9,0.3387,0.1917,0.2371,0.1200
0,0.3387,0.1917,0.2371,0.1200
1,0.5371,0.1917,0.2371,0.1200
2,0.3760,0.1917,0.2371,0.1200
3,0.2632,0.1917,0.2371,0.1200
4,0.2632,0.1917,0.1660,0.1200
5,0.1842,0.1917,0.1660,0.1200
6,0.1842,0.1342,0.1660,0.1200
0,0.1842,0.1342,0.1660,0.1200
1,0.4290,0.1342,0.1660,0.1200
2,0.3003,0.1342,0.1660,0.1200
3,0.2102,0.1342,0.1660,0.1200
4,0.1471,0.1342,0.1660,0.1200
5,0.1471,0.1342,0.1162,0.1200
6,0.1030,0.1342,0.1162,0.1200
0,0.1030,0.1342,0.1162,0.1200
1,0.3721,0.1342,0.1162,0.1200
2,0.2605,0.1342,0.1162,0.1200
3,0.1823,0.1342,0.1162,0.1200
4,0.1276,0.1342,0.1162,0.1200
5,0.1276,0.0939,0.1162,0.1200
6,0.1276,0.0939,0.0813,0.1200
0,0.1276,0.0939,0.0813,0.1200
1,0.3893,0.0939,0.0813,0.1200
2,0.2725,0.0939,0.0813,0.1200
3,0.1908,0.0939,0.0813,0.1200
4,0.1335,0.0939,0.0813,0.1200
5,0.1335,0.0658,0.0813,0.1200
6,0.0935,0.0658,0.0813,0.1200
0,0.0935,0.0658,0.0813,0.1200
1,0.0935,0.3460,0.0813,0.1200
2,0.0935,0.2422,0.0813,0.1200
3,0.0935,0.1696,0.0813,0.1200
4,0.0935,0.1187,0.0813,0.1200
5,0.0935,0.1187,0.0813,0.0840
6,0.0935,0.0831,0.0813,0.0840
0,0.0935,0.0831,0.0813,0.0840
1,0.3654,0.0831,0.0813,0.0840
2,0.2558,0.0831,0.0813,0.0840
3,0.1791,0.0831,0.0813,0.0840
4,0.1253,0.0831,0.0813,0.0840
5,0.0877,0.0831,0.0813,0.0840
6,0.0614,0.0831,0.0813,0.0840
0,0.0614,0.0831,0.0813,0.0840
1,0.0614,0.0831,0.0813,0.0588
2,0.0614,0.3582,0.0813,0.0588
3,0.0614,0.2507,0.0813,0.0588
4,0.0614,0.1755,0.0813,0.0588
5,0.0614,0.1228,0.0813,0.0588
6,0.0614,0.0860,0.0813,0.0588
7,0.0614,0.0860,0.0569,0.0588
0,0.0614,0.0860,0.0569,0.0588
1,0.0614,0.0860,0.0569,0.0412
2,0.0614,0.0860,0.3399,0.0412
3,0.0614,0.0860,0.2379,0.0412
4,0.0614,0.0602,0.2379,0.0412
5,0.0614,0.0602,0.1665,0.0412
6,0.0614,0.0602,0.1166,0.0412
7,0.0614,0.0602,0.0816,0.0412
0,0.0614,0.0602,0.0816,0.0412
1,0.0614,0.0602,0.3571,0.0412
2,0.0614,0.0602,0.2500,0.0412
3,0.0614,0.0602,0.1750,0.0412
4,0.0614,0.0602,0.1225,0.0412
5,0.0614,0.0602,0.0857,0.0412
6,0.0614,0.0602,0.0600,0.0412
0,0.0614,0.0602,0.0600,0.0412
1,0.3430,0.0602,0.0600,0.0412
2,0.2401,0.0602,0.0600,0.0412
3,0.1681,0.0602,0.0600,0.0412
4,0.1681,0.0602,0.0600,0.0288
5,0.1176,0.0602,0.0600,0.0288
6,0.0824,0.0602,0.0600,0.0288
0,0.0824,0.0602,0.0600,0.0288
1,0.3576,0.0602,0.0600,0.0288
2,0.3576,0.0602,0.0420,0.0288
3,0.3576,0.0421,0.0420,0.0288
4,0.3576,0.0421,0.0294,0.0288
5,0.2504,0.0421,0.0294,0.0288
6,0.1752,0.0421,0.0294,0.0288
0,0.1752,0.0421,0.0294,0.0288
1,0.4227,0.0421,0.0294,0.0288
2,0.2959,0.0421,0.0294,0.0288
3,0.2959,0.0421,0.0206,0.0288
4,0.2071,0.0421,0.0206,0.0288
5,0.1450,0.0421,0.0206,0.0288
6,0.1015,0.0421,0.0206,0.0288
0,0.1015,0.0421,0.0206,0.0288
1,0.3710,0.0421,0.0206,0.0288
2,0.2597,0.0421,0.0206,0.0288
3,0.1818,0.0421,0.0206,0.0288
4,0.1273,0.0421,0.0206,0.0288
5,0.0891,0.0421,0.0206,0.0288
6,0.0624,0.0421,0.0206,0.0288
0,0.0624,0.0421,0.0206,0.0288
1,0.3437,0.0421,0.0206,0.0288
2,0.2406,0.0421,0.0206,0.0288
3,0.1684,0.0421,0.0206,0.0288
4,0.1684,0.0421,0.0144,0.0288
5,0.1179,0.0421,0.0144,0.0288
6,0.0825,0.0421,0.0144,0.0288
0,0.0825,0.0421,0.0144,0.0288
1,0.3578,0.0421,0.0144,0.0288
