iter,LS1,LS2,LS3,LS4
0,0.5000,0.5000,0.5000,0.5000
1,0.3500,0.5000,0.5000,0.5000
2,0.3500,0.5000,0.5000,0.3500
3,0.3500,0.5000,897.9500,0.3500
4,0.3500,0.5000,628.5650,0.3500
5,0.3500,0.5000,439.9955,0.3500
6,0.3500,0.5000,307.9968,0.3500
7,0.3500,0.5000,307.9968,0.2450
8,0.3500,0.5000,215.5978,0.2450
0,0.3500,0.5000,215.5978,0.2450
1,0.3500,0.5000,739.2185,0.2450
2,0.3500,0.5000,517.4529,0.2450
3,0.3500,0.5000,362.2170,0.2450
4,0.3500,0.5000,253.5519,0.2450
5,0.3500,0.5000,177.4864,0.2450
6,0.3500,0.5000,124.2404,0.2450
0,0.3500,0.5000,124.2404,0.2450
1,0.3500,0.5000,284.3683,0.2450
2,0.3500,0.5000,199.0578,0.2450
3,866.3450,0.5000,199.0578,0.2450
4,606.4415,0.5000,199.0578,0.2450
5,424.5091,0.5000,199.0578,0.2450
6,297.1563,0.5000,199.0578,0.2450
7,208.0094,0.5000,199.0578,0.2450
8,208.0094,0.5000,139.3405,0.2450
0,208.0094,0.5000,139.3405,0.2450
1,221.2066,0.5000,139.3405,0.2450
2,154.8446,0.5000,139.3405,0.2450
3,108.3912,0.5000,139.3405,0.2450
4,108.3912,0.5000,97.5383,0.2450
5,75.8739,0.5000,97.5383,0.2450
6,75.8739,0.5000,68.2768,0.2450
0,75.8739,0.5000,68.2768,0.2450
1,435.9117,0.5000,68.2768,0.2450
2,305.1382,0.5000,68.2768,0.2450
3,213.5967,0.5000,68.2768,0.2450
4,149.5177,0.5000,68.2768,0.2450
5,104.6624,0.5000,68.2768,0.2450
6,73.2637,0.5000,68.2768,0.2450
0,73.2637,0.5000,68.2768,0.2450
1,471.5846,0.5000,68.2768,0.2450
2,330.1092,0.5000,68.2768,0.2450
3,231.0764,0.5000,68.2768,0.2450
4,161.7535,0.5000,68.2768,0.2450
5,113.2275,0.5000,68.2768,0.2450
6,79.2592,0.5000,68.2768,0.2450
0,79.2592,0.5000,68.2768,0.2450
1,878.0815,0.5000,68.2768,0.2450
2,614.6570,0.5000,68.2768,0.2450
3,614.6570,0.5000,47.7938,0.2450
4,430.2599,0.5000,47.7938,0.2450
5,301.1819,0.5000,47.7938,0.2450
6,210.8274,0.5000,47.7938,0.2450
0,210.8274,0.5000,47.7938,0.2450
1,1234.4791,0.5000,47.7938,0.2450
2,864.1354,0.5000,47.7938,0.2450
3,864.1354,174.9500,47.7938,0.2450
4,773.4948,174.9500,47.7938,0.2450
5,541.4463,174.9500,47.7938,0.2450
6,379.0124,174.9500,47.7938,0.2450
7,265.3087,174.9500,47.7938,0.2450
