iter,LS1,LS2,LS3,LS4
0,0.5000,0.5000,0.5000,0.5000
1,0.4000,0.5000,0.5000,0.5000
2,0.4000,0.4017,0.5000,0.5000
3,0.4000,0.4017,0.5000,0.4000
4,0.4000,0.4017,0.4047,0.4000
5,0.4000,0.4017,0.3238,0.4000
6,0.4000,0.3225,0.3238,0.4000
7,0.3221,0.3225,0.3238,0.4000
8,0.3221,0.3225,0.3238,0.3200
9,0.3221,0.3225,0.2590,0.3200
10,0.3221,0.2580,0.2590,0.3200
0,0.3221,0.2580,0.2590,0.3200
1,0.2581,0.2580,0.2590,0.3200
2,0.2581,0.2580,0.2590,0.2560
3,0.2581,0.2580,0.2072,0.2560
4,0.2065,0.2580,0.2072,0.2560
5,0.2065,0.2064,0.2072,0.2560
6,0.2065,0.2064,0.2072,0.2048
0,0.2065,0.2064,0.2072,0.2048
1,0.2065,0.2064,0.1664,0.2048
2,0.1662,0.2064,0.1664,0.2048
3,0.1662,0.1651,0.1664,0.2048
4,0.1662,0.1651,0.1664,0.1638
5,0.1662,0.1651,0.1331,0.1638
6,0.1330,0.1651,0.1331,0.1638
7,0.1330,0.1321,0.1331,0.1638
0,0.1330,0.1321,0.1331,0.1638
1,0.1330,0.1321,0.1331,0.1311
2,0.1330,0.1321,0.1069,0.1311
3,0.1064,0.1321,0.1069,0.1311
4,0.1064,0.1057,0.1069,0.1311
5,0.1064,0.1057,0.1069,0.1049
6,0.1064,0.1057,0.0855,0.1049
7,0.0851,0.1057,0.0855,0.1049
0,0.0851,0.1057,0.0855,0.1049
1,0.0851,0.0882,0.0855,0.1049
2,0.0851,0.0882,0.0855,0.0839
3,0.0851,0.0706,0.0855,0.0839
4,0.0851,0.0706,0.0684,0.0839
5,0.0685,0.0706,0.0684,0.0839
6,0.0685,0.0706,0.0684,0.0671
7,0.0685,0.0565,0.0684,0.0671
8,0.0548,0.0565,0.0684,0.0671
9,0.0548,0.0565,0.0547,0.0671
10,0.0548,0.0565,0.0547,0.0537
0,0.0548,0.0565,0.0547,0.0537
1,0.0548,0.0452,0.0547,0.0537
2,0.0439,0.0452,0.0547,0.0537
3,0.0439,0.0452,0.0438,0.0537
4,0.0439,0.0452,0.0438,0.0429
5,0.0439,0.0362,0.0438,0.0429
6,0.0352,0.0362,0.0438,0.0429
7,0.0352,0.0362,0.0350,0.0429
0,0.0352,0.0362,0.0350,0.0429
1,0.0352,0.0362,0.0350,0.0344
2,0.0352,0.0290,0.0350,0.0344
3,0.0303,0.0290,0.0350,0.0344
4,0.0303,0.0290,0.0280,0.0344
5,0.0303,0.0290,0.0280,0.0275
6,0.0242,0.0290,0.0280,0.0275
7,0.0242,0.0232,0.0280,0.0275
8,0.0242,0.0232,0.0224,0.0275
0,0.0242,0.0232,0.0224,0.0275
1,0.0242,0.0232,0.0224,0.0220
2,0.0211,0.0232,0.0224,0.0220
3,0.0211,0.0185,0.0224,0.0220
4,0.0211,0.0185,0.0179,0.0220
5,0.0211,0.0185,0.0179,0.0176
